# Table from https://simple.wikipedia.org/wiki/List_of_cities_in_France
Commune,Department,Region,Pop. 2013census,Rank
Paris,Paris,Île-de-France,"2,229,621",1
Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"855,393",2
Lyon,Rhône,Auvergne-Rhône-Alpes,"500,715",3
Toulouse,Haute-Garonne,Occitanie,"458,298",4
Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"342,295",5
Nantes,Loire-Atlantique,Pays de la Loire,"292,718",6
Strasbourg,Bas-Rhin,Grand Est,"275,718",7
Montpellier,Hérault,Occitanie,"272,084",8
Bordeaux,Gironde,Nouvelle-Aquitaine,"243,626",9
Lille,Nord,Hauts-de-France,"231,491",10
Rennes,Ille-et-Vilaine,Brittany,"211,373",11
Reims,Marne,Grand Est,"182,592",12
Le Havre,Seine-Maritime,Normandy,"172,074",13
Saint-Étienne,Loire,Auvergne-Rhône-Alpes,"172,023",14
Toulon,Var,Provence-Alpes-Côte d'Azur,"163,760",15
Grenoble,Isère,Auvergne-Rhône-Alpes,"160,215",16
Dijon,Côte-d'Or,Bourgogne-Franche-Comté,"153,003",17
Nîmes,Gard,Occitanie,"150,564",18
Angers,Maine-et-Loire,Pays de la Loire,"150,125",19
Villeurbanne,Rhône,Auvergne-Rhône-Alpes,"147,192",20
Le Mans,Sarthe,Pays de la Loire,"144,244",21
Saint-Denis,Réunion,Réunion,"142,442",22
Aix-en-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"141,545",23
Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,"141,463",24
Brest,Finistère,Brittany,"139,386",25
Limoges,Haute-Vienne,Nouvelle-Aquitaine,"135,098",26
Tours,Indre-et-Loire,Centre-Val de Loire,"134,803",27
Amiens,Somme,Hauts-de-France,"132,699",28
Perpignan,Pyrénées-Orientales,Occitanie,"120,959",29
Metz,Moselle,Grand Est,"118,634",30
Besançon,Doubs,Bourgogne-Franche-Comté,"116,952",31
Boulogne-Billancourt,Hauts-de-Seine,Île-de-France,"116,794",32
Orléans,Loiret,Centre-Val de Loire,"114,375",33
Mulhouse,Haut-Rhin,Grand Est,"112,063",34
Rouen,Seine-Maritime,Normandy,"110,755",35
Saint-Denis,Seine-Saint-Denis,Île-de-France,"109,343",36
Caen,Calvados,Normandy,"107,229",37
Argenteuil,Val-d'Oise,Île-de-France,"106,817",38
Saint-Paul,Réunion,Réunion,"104,332",39
Montreuil,Seine-Saint-Denis,Île-de-France,"104,139",40
Nancy,Meurthe-et-Moselle,Grand Est,"104,072",41
Roubaix,Nord,Hauts-de-France,"95,866",42
Tourcoing,Nord,Hauts-de-France,"93,974",43
Nanterre,Hauts-de-Seine,Île-de-France,"92,227",44
Avignon,Vaucluse,Provence-Alpes-Côte d'Azur,"90,305",45
Vitry-sur-Seine,Val-de-Marne,Île-de-France,"90,075",46
Créteil,Val-de-Marne,Île-de-France,"89,989",47
Dunkirk,Nord,Hauts-de-France,"89,882",48
Poitiers,Vienne,Nouvelle-Aquitaine,"87,427",49
Asnières-sur-Seine,Hauts-de-Seine,Île-de-France,"86,020",50
Courbevoie,Hauts-de-Seine,Île-de-France,"85,523",51
Versailles,Yvelines,Île-de-France,"85,272",52
Colombes,Hauts-de-Seine,Île-de-France,"84,577",53
Fort-de-France,Martinique,Martinique,"84,174",54
Aulnay-sous-Bois,Seine-Saint-Denis,Île-de-France,"82,634",55
Saint-Pierre,Réunion,Réunion,"81,415",56
Rueil-Malmaison,Hauts-de-Seine,Île-de-France,"79,762",57
Pau,Pyrénées-Atlantiques,Nouvelle-Aquitaine,"77,575",58
Aubervilliers,Seine-Saint-Denis,Île-de-France,"77,452",59
Le Tampon,Réunion,Réunion,"76,090",60
Champigny-sur-Marne,Val-de-Marne,Île-de-France,"75,961",61
Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"75,456",62
Béziers,Hérault,Occitanie,"74,811",63
La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,"74,344",64
Saint-Maur-des-Fossés,Val-de-Marne,Île-de-France,"74,133",65
Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"73,325",66
Calais,Pas-de-Calais,Hauts-de-France,"72,520",67
Saint-Nazaire,Loire-Atlantique,Pays de la Loire,"68,513",68
Mérignac,Gironde,Nouvelle-Aquitaine,"68,386",69
Drancy,Seine-Saint-Denis,Île-de-France,"68,241",70
Colmar,Haut-Rhin,Grand Est,"67,956",71
Ajaccio,Corse-du-Sud,Corsica,"67,507",72
Bourges,Cher,Centre-Val de Loire,"67,189",73
Issy-les-Moulineaux,Hauts-de-Seine,Île-de-France,"65,662",74
Levallois-Perret,Hauts-de-Seine,Île-de-France,"65,264",75
La Seyne-sur-Mer,Var,Provence-Alpes-Côte d'Azur,"64,523",76
Quimper,Finistère,Brittany,"63,532",77
Noisy-le-Grand,Seine-Saint-Denis,Île-de-France,"62,834",78
Villeneuve-d'Ascq,Nord,Hauts-de-France,"62,616",79
Neuilly-sur-Seine,Hauts-de-Seine,Île-de-France,"62,346",80
Valence,Drôme,Auvergne-Rhône-Alpes,"61,767",81
Antony,Hauts-de-Seine,Île-de-France,"61,727",82
Cergy,Val-d'Oise,Île-de-France,"61,708",83
Vénissieux,Rhône,Auvergne-Rhône-Alpes,"61,636",84
Pessac,Gironde,Nouvelle-Aquitaine,"60,763",85
Troyes,Aube,Grand Est,"59,671",86
Clichy,Hauts-de-Seine,Île-de-France,"59,255",87
Ivry-sur-Seine,Val-de-Marne,Île-de-France,"58,933",88
Chambéry,Savoie,Auvergne-Rhône-Alpes,"58,653",89
Lorient,Morbihan,Brittany,"57,961",90
Les Abymes,Guadeloupe,Guadeloupe,"57,960",91
