# Table from https://en.wikipedia.org/wiki/List_of_cities_in_Germany_by_population
2015 rank,City,State,2015 Estimate,2011 Census,Change,2015 land area,2015 population density,Location
1,Berlin,Berlin,"3,520,031","3,292,365",+6.91%,891.68 km2344.28 sq mi,"3,948/km210,230/sq mi",52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E
2,Hamburg,Hamburg,"1,787,408","1,706,696",+4.73%,755.3 km2291.6 sq mi,"2,366/km26,130/sq mi",53°33′N 10°0′E﻿ / ﻿53.550°N 10.000°E
3,Munich (München),Bavaria,"1,450,381","1,348,335",+7.57%,310.7 km2120.0 sq mi,"4,668/km212,090/sq mi",48°8′N 11°34′E﻿ / ﻿48.133°N 11.567°E
4,Cologne (Köln),North Rhine-Westphalia,"1,060,582","1,005,775",+5.45%,405.02 km2156.38 sq mi,"2,619/km26,780/sq mi",50°56′N 6°57′E﻿ / ﻿50.933°N 6.950°E
5,Frankfurt am Main,Hesse,"732,688","667,925",+9.70%,248.31 km295.87 sq mi,"2,951/km27,640/sq mi",50°7′N 8°41′E﻿ / ﻿50.117°N 8.683°E
6,Stuttgart,Baden-Württemberg,"623,738","585,890",+6.46%,207.35 km280.06 sq mi,"3,008/km27,790/sq mi",48°47′N 9°11′E﻿ / ﻿48.783°N 9.183°E
7,Düsseldorf,North Rhine-Westphalia,"612,178","586,291",+4.42%,217.41 km283.94 sq mi,"2,816/km27,290/sq mi",51°14′N 6°47′E﻿ / ﻿51.233°N 6.783°E
8,Dortmund,North Rhine-Westphalia,"586,181","571,143",+2.63%,280.71 km2108.38 sq mi,"2,088/km25,410/sq mi",51°31′N 7°28′E﻿ / ﻿51.517°N 7.467°E
9,Essen,North Rhine-Westphalia,"582,624","566,201",+2.90%,210.34 km281.21 sq mi,"2,770/km27,200/sq mi",51°27′N 7°1′E﻿ / ﻿51.450°N 7.017°E
10,Leipzig,Saxony,"560,472","502,979",+11.43%,297.8 km2115.0 sq mi,"1,882/km24,870/sq mi",51°20′N 12°23′E﻿ / ﻿51.333°N 12.383°E
11,Bremen,Bremen,"557,464","542,707",+2.72%,326.18 km2125.94 sq mi,"1,709/km24,430/sq mi",53°5′N 8°48′E﻿ / ﻿53.083°N 8.800°E
12,Dresden,Saxony,"543,825","512,354",+6.14%,328.48 km2126.83 sq mi,"1,656/km24,290/sq mi",51°2′N 13°44′E﻿ / ﻿51.033°N 13.733°E
13,Hanover (Hannover),Lower Saxony,"532,163","506,416",+5.08%,204.14 km278.82 sq mi,"2,607/km26,750/sq mi",52°22′N 9°43′E﻿ / ﻿52.367°N 9.717°E
14,Nuremberg (Nürnberg),Bavaria,"509,975","486,314",+4.87%,186.38 km271.96 sq mi,"2,736/km27,090/sq mi",49°27′N 11°5′E﻿ / ﻿49.450°N 11.083°E
15,Duisburg,North Rhine-Westphalia,"491,231","488,468",+0.57%,232.8 km289.9 sq mi,"2,110/km25,500/sq mi",51°26′N 6°46′E﻿ / ﻿51.433°N 6.767°E
16,Bochum,North Rhine-Westphalia,"364,742","362,286",+0.68%,145.66 km256.24 sq mi,"2,504/km26,490/sq mi",51°29′N 7°13′E﻿ / ﻿51.483°N 7.217°E
17,Wuppertal,North Rhine-Westphalia,"350,046","342,661",+2.16%,168.39 km265.02 sq mi,"2,079/km25,380/sq mi",51°16′N 7°11′E﻿ / ﻿51.267°N 7.183°E
18,Bielefeld,North Rhine-Westphalia,"333,090","326,870",+1.90%,258.82 km299.93 sq mi,"1,287/km23,330/sq mi",52°1′N 8°32′E﻿ / ﻿52.017°N 8.533°E
19,Bonn,North Rhine-Westphalia,"318,809","305,765",+4.27%,141.06 km254.46 sq mi,"2,260/km25,900/sq mi",50°44′N 7°6′E﻿ / ﻿50.733°N 7.100°E
20,Münster,North Rhine-Westphalia,"310,039","289,576",+7.07%,303.28 km2117.10 sq mi,"1,022/km22,650/sq mi",51°58′N 7°38′E﻿ / ﻿51.967°N 7.633°E
21,Karlsruhe,Baden-Württemberg,"307,755","289,173",+6.43%,173.46 km266.97 sq mi,"1,774/km24,590/sq mi",49°0′N 8°24′E﻿ / ﻿49.000°N 8.400°E
22,Mannheim,Baden-Württemberg,"305,780","290,117",+5.40%,144.96 km255.97 sq mi,"2,109/km25,460/sq mi",49°29′N 8°28′E﻿ / ﻿49.483°N 8.467°E
23,Augsburg,Bavaria,"286,374","267,767",+6.95%,146.86 km256.70 sq mi,"1,950/km25,100/sq mi",48°22′N 10°54′E﻿ / ﻿48.367°N 10.900°E
24,Wiesbaden,Hesse,"276,218","269,121",+2.64%,203.93 km278.74 sq mi,"1,354/km23,510/sq mi",50°5′N 8°14′E﻿ / ﻿50.083°N 8.233°E
25,Gelsenkirchen,North Rhine-Westphalia,"260,368","258,766",+0.62%,104.94 km240.52 sq mi,"2,481/km26,430/sq mi",51°31′N 7°6′E﻿ / ﻿51.517°N 7.100°E
26,Mönchengladbach,North Rhine-Westphalia,"259,996","255,188",+1.88%,170.47 km265.82 sq mi,"1,525/km23,950/sq mi",51°12′N 6°26′E﻿ / ﻿51.200°N 6.433°E
